emojis,count,emojis_converted,category,subcategory
:heart:,1436,❤️,Smileys & Emotion,heart
:hearts:,256,♥️,Smileys & Emotion,heart
:relaxed:,208,☺️,Smileys & Emotion,face-smiling
:+1:,190,👍,People & Body,hand-fingers-closed
:pink_heart:,117,🩷,Smileys & Emotion,heart
:heart_eyes:,71,😍,Smileys & Emotion,face-affection
:light_blue_heart:,64,🩵,Smileys & Emotion,heart
:fire:,36,🔥,Travel & Places,sky & weather
:heart_hands:,28,🫶,People & Body,hands
:smiling_face_with_3_hearts:,25,🥰,Smileys & Emotion,face-affection
:grin:,24,😁,Smileys & Emotion,face-smiling
:ok_hand:,23,👌,People & Body,hand-fingers-partial
:sweat_smile:,19,😅,Smileys & Emotion,face-smiling
:blush:,19,😊,Smileys & Emotion,face-smiling
:sob:,18,😭,Smileys & Emotion,face-concerned
:cry:,17,😢,Smileys & Emotion,face-concerned
:sparkling_heart:,17,💖,Smileys & Emotion,heart
:heavy_heart_exclamation_mark_ornament:,16,❣️,Smileys & Emotion,heart
:v:,16,✌️,People & Body,hand-fingers-partial
:shamrock:,16,☘️,Animals & Nature,plant-other
:white_frowning_face:,16,☹️,Smileys & Emotion,face-concerned
:heavy_check_mark:,16,✔️,Symbols,other-symbol
:pray:,15,🙏,People & Body,hands
:raised_hands:,14,🙌,People & Body,hands
:white_heart:,14,🤍,Smileys & Emotion,heart
:sparkles:,13,✨,Activities,event
:hand_with_index_finger_and_thumb_crossed:,11,🫰,People & Body,hand-fingers-partial
:face_holding_back_tears:,11,🥹,Smileys & Emotion,face-concerned
:heartpulse:,11,💗,Smileys & Emotion,heart
:star-struck:,11,🤩,Smileys & Emotion,face-affection
:two_hearts:,11,💕,Smileys & Emotion,heart
:hugging_face:,11,🤗,Smileys & Emotion,face-hand
:cherry_blossom:,11,🌸,Animals & Nature,plant-flower
:broken_heart:,11,💔,Smileys & Emotion,heart
:joy:,9,😂,Smileys & Emotion,face-smiling
:kissing_heart:,9,😘,Smileys & Emotion,face-affection
:pinched_fingers:,9,🤌,People & Body,hand-fingers-partial
:woman-shrugging:,8,🤷‍♀️,People & Body,person-gesture
:rose:,8,🌹,Animals & Nature,plant-flower
:smiling_face_with_tear:,7,🥲,Smileys & Emotion,face-affection
:rolling_on_the_floor_laughing:,7,🤣,Smileys & Emotion,face-smiling
:star2:,6,🌟,Travel & Places,sky & weather
:heartbeat:,5,💓,Smileys & Emotion,heart
:100:,5,💯,Smileys & Emotion,emotion
:pleading_face:,5,🥺,Smileys & Emotion,face-concerned
:boom:,5,💥,Smileys & Emotion,emotion
:wink:,5,😉,Smileys & Emotion,face-smiling
:green_heart:,4,💚,Smileys & Emotion,heart
:stuck_out_tongue_winking_eye:,4,😜,Smileys & Emotion,face-tongue
:heart_eyes_cat:,4,😻,Smileys & Emotion,cat-face
:smile:,4,😄,Smileys & Emotion,face-smiling
:slightly_smiling_face:,4,🙂,Smileys & Emotion,face-smiling
:hibiscus:,4,🌺,Animals & Nature,plant-flower
:revolving_hearts:,4,💞,Smileys & Emotion,heart
:-1:,4,👎,People & Body,hand-fingers-closed
:tulip:,3,🌷,Animals & Nature,plant-flower
:clap:,3,👏,People & Body,hands
:orange_heart:,3,🧡,Smileys & Emotion,heart
:relieved:,2,😌,Smileys & Emotion,face-sleepy
:rage:,2,😡,Smileys & Emotion,face-negative
:crossed_fingers:,2,🤞,People & Body,hand-fingers-partial
:eyes:,2,👀,People & Body,body-parts
:partying_face:,2,🥳,Smileys & Emotion,face-hat
:scream:,2,😱,Smileys & Emotion,face-concerned
:butterfly:,2,🦋,Animals & Nature,animal-bug
:kissing_smiling_eyes:,2,😙,Smileys & Emotion,face-affection
:cupid:,2,💘,Smileys & Emotion,heart
:ribbon:,2,🎀,Activities,event
:nail_care:,2,💅,People & Body,hand-prop
:heart_on_fire:,2,❤️‍🔥,Smileys & Emotion,heart
:muscle:,2,💪,People & Body,body-parts
:brown_heart:,2,🤎,Smileys & Emotion,heart
:smiley:,2,😃,Smileys & Emotion,face-smiling
:grinning:,2,😀,Smileys & Emotion,face-smiling
:shrug:,2,🤷,People & Body,person-gesture
:disappointed:,2,😞,Smileys & Emotion,face-concerned
:shushing_face:,1,🤫,Smileys & Emotion,face-hand
:hot_face:,1,🥵,Smileys & Emotion,face-unwell
:smirk:,1,😏,Smileys & Emotion,face-neutral-skeptical
:saluting_face:,1,🫡,Smileys & Emotion,face-hand
:laughing:,1,😆,Smileys & Emotion,face-smiling
:tm:,1,™️,Symbols,other-symbol
:face_with_symbols_on_mouth:,1,🤬,Smileys & Emotion,face-negative
:rocket:,1,🚀,Travel & Places,transport-air
:woozy_face:,1,🥴,Smileys & Emotion,face-unwell
:grimacing:,1,😬,Smileys & Emotion,face-neutral-skeptical
:neutral_face:,1,😐,Smileys & Emotion,face-neutral-skeptical
:moneybag:,1,💰,Objects,money
:pinching_hand:,1,🤏,People & Body,hand-fingers-partial
:worried:,1,😟,Smileys & Emotion,face-concerned
:bulb:,1,💡,Objects,light & video
:strawberry:,1,🍓,Food & Drink,food-fruit
:heavy_plus_sign:,1,➕,Symbols,math
:potato:,1,🥔,Food & Drink,food-vegetable
:top:,1,🔝,Symbols,arrow
:tada:,1,🎉,Activities,event
:no_entry:,1,⛔,Symbols,warning
:upside_down_face:,1,🙃,Smileys & Emotion,face-smiling
:blue_heart:,1,💙,Smileys & Emotion,heart
:face_with_peeking_eye:,1,🫣,Smileys & Emotion,face-hand
:tangerine:,1,🍊,Food & Drink,food-fruit
:face_with_raised_eyebrow:,1,🤨,Smileys & Emotion,face-neutral-skeptical
:lemon:,1,🍋,Food & Drink,food-fruit
:purple_heart:,1,💜,Smileys & Emotion,heart
:lotus:,1,🪷,Animals & Nature,plant-flower
:yellow_heart:,1,💛,Smileys & Emotion,heart
:face_with_hand_over_mouth:,1,🤭,Smileys & Emotion,face-hand
:white_check_mark:,1,✅,Symbols,other-symbol
:place_of_worship:,1,🛐,Symbols,religion
:woman-facepalming:,1,🤦‍♀️,People & Body,person-gesture
:persevere:,1,😣,Smileys & Emotion,face-concerned
:thinking_face:,1,🤔,Smileys & Emotion,face-hand
:dizzy:,1,💫,Smileys & Emotion,emotion
:yum:,1,😋,Smileys & Emotion,face-tongue
:fallen_leaf:,1,🍂,Animals & Nature,plant-other
:teddy_bear:,1,🧸,Activities,game
:hatched_chick:,1,🐥,Animals & Nature,animal-bird
:sun_with_face:,1,🌞,Travel & Places,sky & weather
:handshake:,1,🤝,People & Body,hands
:see_no_evil:,1,🙈,Smileys & Emotion,monkey-face
:airplane:,1,✈️,Travel & Places,transport-air
:slightly_frowning_face:,1,🙁,Smileys & Emotion,face-concerned
:joy_cat:,1,😹,Smileys & Emotion,cat-face
:woman-bowing:,1,🙇‍♀️,People & Body,person-gesture
